#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
189	 3 	 CHN 	 CNH 	 0.0036317774630958526 	 0.0036317774630958526
189	 0 	 H2 	 H2 	 1.5285579654109837e-06 	 1.5285579654109837e-06
189	 2 	 FLi 	 LiF 	 0.007126618817009503 	 0.007126618817009503
189	 7 	 CO 	 OC 	 0.0003607060145504809 	 0.0003607060145504809
189	 16 	 CH2 	 CH2 	 0.002598320173996982 	 0.002598320173996982
189	 22 	 CH4O 	 CH4O 	 0.00023542902458888407 	 0.00023542902458888407
189	 12 	 HN 	 NH 	 0.0009432279161159149 	 0.0009432279161159149
189	 19 	 HO 	 OH 	 1.336695142147107e-05 	 1.336695142147107e-05
189	 14 	 N2O 	 N2O 	 0.003747116872386992 	 0.003747116872386992
189	 18 	 H3N 	 NH3 	 0.000379912072717635 	 0.000379912072717635
189	 8 	 HLi 	 LiH 	 2.0856440394059746e-06 	 2.0856440394059746e-06
189	 9 	 Na2 	 Na2 	 1.4716653725314706e-06 	 1.4716653725314706e-06
189	 25 	 Li 	 Li 	 3.7168077531833906e-05 	 3.7168077531833906e-05
189	 10 	 NO 	 NO 	 8.676695619631197e-05 	 8.676695619631197e-05
189	 23 	 HF2 	 HF2 	 0.002686649417873496 	 0.002686649417873496
189	 21 	 HN2O 	 HON2 	 0.004077096841061198 	 0.004077096841061198
189	 20 	 CH 	 CH 	 2.740499315226707e-07 	 2.740499315226707e-07
189	 1 	 N2 	 N2 	 5.579710840406736e-06 	 5.579710840406736e-06
189	 17 	 H2O 	 OH2 	 0.00022624329686712663 	 0.00022624329686712663
189	 6 	 C2H2 	 C2H2 	 0.0001430178173862384 	 0.0001430178173862384
189	 13 	 O3 	 O3 	 0.0036994767915310986 	 0.0036994767915310986
189	 4 	 CO2 	 CO2 	 0.0076163484633098065 	 0.0076163484633098065
189	 15 	 CH3 	 CH3 	 9.335438244803449e-08 	 9.335438244803449e-08
189	 24 	 C 	 C 	 3.566176646412299e-05 	 3.566176646412299e-05
190	 0 	 H2 	 H2 	 1.6188531474536112e-06 	 1.6188531474536112e-06
190	 3 	 CHN 	 CNH 	 0.0036321134732572357 	 0.0036321134732572357
190	 13 	 O3 	 O3 	 0.0036997719024443043 	 0.0036997719024443043
190	 21 	 HN2O 	 HON2 	 0.004077113519945397 	 0.004077113519945397
190	 16 	 CH2 	 CH2 	 0.002598788512527199 	 0.002598788512527199
190	 11 	 NO2 	 NO2 	 0.0045852795136063695 	 0.0045852795136063695
190	 1 	 N2 	 N2 	 5.524789254962274e-06 	 5.524789254962274e-06
190	 23 	 HF2 	 HF2 	 0.0026866553796961417 	 0.0026866553796961417
190	 17 	 H2O 	 OH2 	 0.0002264337321371571 	 0.0002264337321371571
190	 5 	 F2 	 F2 	 0.0002029113687045064 	 0.0002029113687045064
190	 7 	 CO 	 OC 	 0.00036106273024645916 	 0.00036106273024645916
190	 24 	 C 	 C 	 3.56917983508604e-05 	 3.56917983508604e-05
190	 10 	 NO 	 NO 	 8.685148404262725e-05 	 8.685148404262725e-05
190	 20 	 CH 	 CH 	 2.7445335140342835e-07 	 2.7445335140342835e-07
190	 19 	 HO 	 OH 	 1.3423034174676245e-05 	 1.3423034174676245e-05
190	 4 	 CO2 	 CO2 	 0.007612848271691024 	 0.007612848271691024
190	 18 	 H3N 	 NH3 	 0.0003802908123998527 	 0.0003802908123998527
190	 14 	 N2O 	 N2O 	 0.0037476993148498347 	 0.0037476993148498347
190	 12 	 HN 	 NH 	 0.0009427957823833447 	 0.0009427957823833447
190	 2 	 FLi 	 LiF 	 0.007132500915193765 	 0.007132500915193765
190	 8 	 HLi 	 LiH 	 2.1950759372976455e-06 	 2.1950759372976455e-06
190	 25 	 Li 	 Li 	 3.552096911966803e-05 	 3.552096911966803e-05
190	 15 	 CH3 	 CH3 	 1.0054813590993324e-07 	 1.0054813590993324e-07
190	 9 	 Na2 	 Na2 	 1.4617195341625467e-06 	 1.4617195341625467e-06
190	 22 	 CH4O 	 CH4O 	 0.00023543085077587557 	 0.00023543085077587557
190	 6 	 C2H2 	 C2H2 	 0.0001436890713072795 	 0.0001436890713072795
191	 5 	 F2 	 F2 	 0.0002030257291738067 	 0.0002030257291738067
191	 17 	 H2O 	 OH2 	 0.0002258196923021516 	 0.0002258196923021516
191	 16 	 CH2 	 CH2 	 0.002596646128437717 	 0.002596646128437717
191	 0 	 H2 	 H2 	 1.6053349031922542e-06 	 1.6053349031922542e-06
191	 23 	 HF2 	 HF2 	 0.0026866746734608787 	 0.0026866746734608787
191	 6 	 C2H2 	 C2H2 	 0.00013753155298963638 	 0.00013753155298963638
191	 15 	 CH3 	 CH3 	 9.817202504191938e-08 	 9.817202504191938e-08
191	 8 	 HLi 	 LiH 	 2.089711231954357e-06 	 2.089711231954357e-06
191	 13 	 O3 	 O3 	 0.00369808274898348 	 0.00369808274898348
191	 9 	 Na2 	 Na2 	 1.4632222488191622e-06 	 1.4632222488191622e-06
191	 14 	 N2O 	 N2O 	 0.003749431269733486 	 0.003749431269733486
191	 12 	 HN 	 NH 	 0.0009427607063802549 	 0.0009427607063802549
191	 10 	 NO 	 NO 	 8.680964034847442e-05 	 8.680964034847442e-05
191	 20 	 CH 	 CH 	 2.7818900934923686e-07 	 2.7818900934923686e-07
191	 11 	 NO2 	 NO2 	 0.004585716419994005 	 0.004585716419994005
191	 2 	 FLi 	 LiF 	 0.007134285594619094 	 0.007134285594619094
191	 21 	 HN2O 	 HON2 	 0.004077139127498474 	 0.004077139127498474
191	 25 	 Li 	 Li 	 3.469428772370505e-05 	 3.469428772370505e-05
191	 22 	 CH4O 	 CH4O 	 0.00023543119239184446 	 0.00023543119239184446
191	 1 	 N2 	 N2 	 5.593248575326501e-06 	 5.593248575326501e-06
191	 3 	 CHN 	 CNH 	 0.0036297250789485954 	 0.0036297250789485954
191	 19 	 HO 	 OH 	 1.3393310359673008e-05 	 1.3393310359673008e-05
191	 24 	 C 	 C 	 3.6466405397298894e-05 	 3.6466405397298894e-05
191	 18 	 H3N 	 NH3 	 0.00038038413268070545 	 0.00038038413268070545
191	 4 	 CO2 	 CO2 	 0.007607221195210725 	 0.007607221195210725
191	 7 	 CO 	 OC 	 0.0003610096558079817 	 0.0003610096558079817
192	 13 	 O3 	 O3 	 0.003699160532494204 	 0.003699160532494204
192	 8 	 HLi 	 LiH 	 2.0945702298323604e-06 	 2.0945702298323604e-06
192	 1 	 N2 	 N2 	 5.3587393026048295e-06 	 5.3587393026048295e-06
192	 5 	 F2 	 F2 	 0.00020279494948900512 	 0.00020279494948900512
192	 14 	 N2O 	 N2O 	 0.0037502191101063276 	 0.0037502191101063276
192	 24 	 C 	 C 	 3.5754570533194944e-05 	 3.5754570533194944e-05
192	 0 	 H2 	 H2 	 1.2586119814296344e-06 	 1.2586119814296344e-06
192	 9 	 Na2 	 Na2 	 1.4714575765247334e-06 	 1.4714575765247334e-06
192	 7 	 CO 	 OC 	 0.00036087037848719526 	 0.00036087037848719526
192	 10 	 NO 	 NO 	 8.686304664017374e-05 	 8.686304664017374e-05
192	 2 	 FLi 	 LiF 	 0.007127761161435819 	 0.007127761161435819
192	 18 	 H3N 	 NH3 	 0.0003804988635345726 	 0.0003804988635345726
192	 25 	 Li 	 Li 	 3.47030732671329e-05 	 3.47030732671329e-05
192	 11 	 NO2 	 NO2 	 0.004586601251448196 	 0.004586601251448196
192	 17 	 H2O 	 OH2 	 0.00022586740093405295 	 0.00022586740093405295
192	 12 	 HN 	 NH 	 0.0009431015516622985 	 0.0009431015516622985
192	 3 	 CHN 	 CNH 	 0.0036309267529229527 	 0.0036309267529229527
192	 20 	 CH 	 CH 	 2.7634208290213147e-07 	 2.7634208290213147e-07
192	 6 	 C2H2 	 C2H2 	 0.00013740214120023055 	 0.00013740214120023055
192	 23 	 HF2 	 HF2 	 0.002686679884885759 	 0.002686679884885759
192	 16 	 CH2 	 CH2 	 0.002598753264680459 	 0.002598753264680459
192	 21 	 HN2O 	 HON2 	 0.004077165228061329 	 0.004077165228061329
192	 4 	 CO2 	 CO2 	 0.0076141733722762586 	 0.0076141733722762586
192	 19 	 HO 	 OH 	 1.3371658077472343e-05 	 1.3371658077472343e-05
192	 22 	 CH4O 	 CH4O 	 0.00023543313847446476 	 0.00023543313847446476
192	 15 	 CH3 	 CH3 	 1.0486251498320026e-07 	 1.0486251498320026e-07
