#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
315	 21 	 HN2O 	 HON2 	 0.006978495102839952 	 0.006978495102839952
316	 24 	 C 	 C 	 1.3263409644730714e-05 	 1.3263409644730714e-05
316	 16 	 CH2 	 CH2 	 0.0048002771627415845 	 0.0048002771627415845
316	 23 	 HF2 	 HF2 	 0.0027834536650752665 	 0.0027834536650752665
316	 20 	 CH 	 CH 	 3.900765809098139e-07 	 3.900765809098139e-07
316	 17 	 H2O 	 OH2 	 1.6604391163111032e-06 	 1.6604391163111032e-06
316	 2 	 FLi 	 LiF 	 0.006070422481422038 	 0.006070422481422038
316	 12 	 HN 	 NH 	 0.0017707373060939172 	 0.0017707373060939172
316	 14 	 N2O 	 N2O 	 0.014616496668240709 	 0.014616496668240709
316	 22 	 CH4O 	 CH4O 	 0.00030438019366534893 	 0.00030438019366534893
316	 25 	 Li 	 Li 	 4.418378988485428e-05 	 4.418378988485428e-05
316	 13 	 O3 	 O3 	 0.01817947958522656 	 0.01817947958522656
316	 7 	 CO 	 OC 	 2.7726681464059612e-05 	 2.7726681464059612e-05
316	 3 	 CHN 	 CNH 	 0.0019540414772792197 	 0.0019540414772792197
316	 18 	 H3N 	 NH3 	 0.0006037859346310793 	 0.0006037859346310793
316	 9 	 Na2 	 Na2 	 1.9042923544833968e-08 	 1.9042923544833968e-08
316	 11 	 NO2 	 NO2 	 0.016657522239944277 	 0.016657522239944277
316	 21 	 HN2O 	 HON2 	 0.006978442646900266 	 0.006978442646900266
316	 4 	 CO2 	 CO2 	 0.0022390584807690235 	 0.0022390584807690235
316	 5 	 F2 	 F2 	 0.000378865638325845 	 0.000378865638325845
316	 15 	 CH3 	 CH3 	 0.00019148084771230463 	 0.00019148084771230463
316	 0 	 H2 	 H2 	 1.2063456121223649e-05 	 1.2063456121223649e-05
316	 8 	 HLi 	 LiH 	 1.800998490233066e-05 	 1.800998490233066e-05
316	 1 	 N2 	 N2 	 0.00021191223127263605 	 0.00021191223127263605
316	 10 	 NO 	 NO 	 0.0005290101235612308 	 0.0005290101235612308
316	 6 	 C2H2 	 C2H2 	 0.0060178667198923915 	 0.0060178667198923915
316	 19 	 HO 	 OH 	 4.5127732574246285e-07 	 4.5127732574246285e-07
317	 15 	 CH3 	 CH3 	 0.00019148355081008994 	 0.00019148355081008994
317	 20 	 CH 	 CH 	 3.89852010016664e-07 	 3.89852010016664e-07
317	 0 	 H2 	 H2 	 1.208955604750497e-05 	 1.208955604750497e-05
317	 24 	 C 	 C 	 1.321733971624654e-05 	 1.321733971624654e-05
317	 25 	 Li 	 Li 	 4.4371953538292744e-05 	 4.4371953538292744e-05
317	 18 	 H3N 	 NH3 	 0.0006045407999541913 	 0.0006045407999541913
317	 2 	 FLi 	 LiF 	 0.006071570772346413 	 0.006071570772346413
317	 3 	 CHN 	 CNH 	 0.0019531386786858316 	 0.0019531386786858316
317	 19 	 HO 	 OH 	 1.0722412059830514e-06 	 1.0722412059830514e-06
317	 9 	 Na2 	 Na2 	 1.9792959176221175e-08 	 1.9792959176221175e-08
317	 5 	 F2 	 F2 	 0.00037889966883549055 	 0.00037889966883549055
317	 23 	 HF2 	 HF2 	 0.002783433816544578 	 0.002783433816544578
317	 16 	 CH2 	 CH2 	 0.0047997897083915265 	 0.0047997897083915265
317	 13 	 O3 	 O3 	 0.017580549665259702 	 0.017580549665259702
317	 1 	 N2 	 N2 	 0.0002097342707964806 	 0.0002097342707964806
317	 22 	 CH4O 	 CH4O 	 0.0003043769350234147 	 0.0003043769350234147
317	 11 	 NO2 	 NO2 	 0.01665944540398724 	 0.01665944540398724
317	 4 	 CO2 	 CO2 	 0.002240504430637333 	 0.002240504430637333
317	 10 	 NO 	 NO 	 0.0005457719188677998 	 0.0005457719188677998
317	 17 	 H2O 	 OH2 	 2.9487427935086757e-07 	 2.9487427935086757e-07
317	 12 	 HN 	 NH 	 0.0017711650488701621 	 0.0017711650488701621
317	 6 	 C2H2 	 C2H2 	 0.031094433305990255 	 0.031094433305990255
317	 7 	 CO 	 OC 	 2.3934764677464955e-05 	 2.3934764677464955e-05
317	 14 	 N2O 	 N2O 	 0.01461400069087228 	 0.01461400069087228
317	 21 	 HN2O 	 HON2 	 0.006978382925361832 	 0.006978382925361832
317	 8 	 HLi 	 LiH 	 1.7782568540772143e-05 	 1.7782568540772143e-05
318	 10 	 NO 	 NO 	 0.0005458615986914927 	 0.0005458615986914927
318	 17 	 H2O 	 OH2 	 2.942272172139388e-07 	 2.942272172139388e-07
