AE loss	 19 	 1 	 N2 	 N2 	 6.694000226161762e-05
AE loss	 20 	 5 	 F 	 F 	 2.4621324697876136e-06
AE loss	 20 	 10 	 CH4O 	 CH4O 	 6.12166272806748e-05
AE loss	 20 	 8 	 N 	 N 	 1.5613563412889454e-05
AE loss	 20 	 9 	 HN2O 	 HON2 	 0.0009217947579593509
AE loss	 20 	 12 	 C 	 C 	 4.884564760700567e-05
AE loss	 20 	 13 	 Li 	 Li 	 5.464010802895723e-07
AE loss	 20 	 0 	 H2 	 H2 	 4.172109492371734e-06
AE loss	 20 	 3 	 CHN 	 CNH 	 0.00704487789715248
AE loss	 20 	 2 	 FLi 	 LiF 	 0.008218569593973924
AE loss	 20 	 4 	 C 	 C 	 6.019737210262722e-06
AE loss	 20 	 6 	 H 	 H 	 1.4598497263674074e-07
AE loss	 20 	 1 	 N2 	 N2 	 6.425041451174083e-05
AE loss	 20 	 11 	 HF2 	 HF2 	 0.0009594141496366227
AE loss	 20 	 7 	 Li 	 Li 	 1.7225912620746286e-06
AE loss	 21 	 1 	 N2 	 N2 	 6.36496916153483e-05
AE loss	 21 	 3 	 CHN 	 CNH 	 0.006973974598152864
AE loss	 21 	 11 	 HF2 	 HF2 	 0.0009635375092394529
AE loss	 21 	 8 	 N 	 N 	 1.2656897520160133e-05
AE loss	 21 	 7 	 Li 	 Li 	 1.6433368325492003e-06
AE loss	 21 	 6 	 H 	 H 	 1.612704019583572e-07
AE loss	 21 	 5 	 F 	 F 	 4.740991271659952e-07
AE loss	 21 	 10 	 CH4O 	 CH4O 	 6.103957625672197e-05
AE loss	 21 	 4 	 C 	 C 	 7.132505369647081e-06
AE loss	 21 	 9 	 HN2O 	 HON2 	 0.0009246115781959809
AE loss	 21 	 13 	 Li 	 Li 	 6.099508408617995e-07
AE loss	 21 	 12 	 C 	 C 	 4.755430548301413e-05
AE loss	 21 	 2 	 FLi 	 LiF 	 0.008148319174683068
AE loss	 21 	 0 	 H2 	 H2 	 6.03139344938732e-06
AE loss	 22 	 8 	 N 	 N 	 1.3101212248625219e-05
AE loss	 22 	 12 	 C 	 C 	 4.7782162650534044e-05
AE loss	 22 	 9 	 HN2O 	 HON2 	 0.0009244007891371577
AE loss	 22 	 3 	 CHN 	 CNH 	 0.006847493797225446
AE loss	 22 	 6 	 H 	 H 	 1.7541756319380296e-07
AE loss	 22 	 4 	 C 	 C 	 6.597789734342786e-06
AE loss	 22 	 10 	 CH4O 	 CH4O 	 6.098991913974154e-05
AE loss	 22 	 1 	 N2 	 N2 	 5.899563054119017e-05
AE loss	 22 	 11 	 HF2 	 HF2 	 0.0009773989512513095
AE loss	 22 	 5 	 F 	 F 	 4.111874979111389e-07
AE loss	 22 	 13 	 Li 	 Li 	 6.536775577203782e-07
AE loss	 22 	 7 	 Li 	 Li 	 1.98181940901697e-06
AE loss	 22 	 2 	 FLi 	 LiF 	 0.008098222063198015
AE loss	 22 	 0 	 H2 	 H2 	 7.254222040762774e-06
AE loss	 23 	 2 	 FLi 	 LiF 	 0.008071613332051851
AE loss	 23 	 8 	 N 	 N 	 1.4049836230535818e-05
AE loss	 23 	 6 	 H 	 H 	 1.877128022663957e-07
AE loss	 23 	 11 	 HF2 	 HF2 	 0.000979597543109425
AE loss	 23 	 12 	 C 	 C 	 4.709807919721493e-05
AE loss	 23 	 1 	 N2 	 N2 	 5.512499221702843e-05
AE loss	 23 	 5 	 F 	 F 	 1.6023887916303862e-07
AE loss	 23 	 10 	 CH4O 	 CH4O 	 6.144388932534404e-05
AE loss	 23 	 4 	 C 	 C 	 6.8209874237803564e-06
AE loss	 23 	 7 	 Li 	 Li 	 1.8543986105821041e-06
AE loss	 23 	 9 	 HN2O 	 HON2 	 0.0009342771848595848
AE loss	 23 	 3 	 CHN 	 CNH 	 0.006722515405104193
AE loss	 23 	 13 	 Li 	 Li 	 6.949799897035117e-07
AE loss	 23 	 0 	 H2 	 H2 	 7.890474883317932e-06
AE loss	 24 	 0 	 H2 	 H2 	 7.989384913632601e-06
AE loss	 24 	 5 	 F 	 F 	 3.5739547694570933e-07
AE loss	 24 	 1 	 N2 	 N2 	 5.2830184684865946e-05
AE loss	 24 	 4 	 C 	 C 	 8.143435531507292e-06
AE loss	 24 	 9 	 HN2O 	 HON2 	 0.0009423950747212657
AE loss	 24 	 12 	 C 	 C 	 4.64190517627887e-05
AE loss	 24 	 10 	 CH4O 	 CH4O 	 6.197333181572583e-05
AE loss	 24 	 3 	 CHN 	 CNH 	 0.0066496338036955965
AE loss	 24 	 13 	 Li 	 Li 	 7.345413480880216e-07
AE loss	 24 	 8 	 N 	 N 	 1.7694160410606216e-05
AE loss	 24 	 11 	 HF2 	 HF2 	 0.00099380943156296
AE loss	 24 	 7 	 Li 	 Li 	 1.6765487414534365e-06
AE loss	 24 	 2 	 FLi 	 LiF 	 0.007955758848932007
AE loss	 24 	 6 	 H 	 H 	 2.23290264557875e-07
AE loss	 25 	 2 	 FLi 	 LiF 	 0.007955661775754736
AE loss	 25 	 10 	 CH4O 	 CH4O 	 6.222403662278704e-05
AE loss	 25 	 13 	 Li 	 Li 	 7.781627239614566e-07
AE loss	 25 	 0 	 H2 	 H2 	 9.616090551881234e-06
AE loss	 25 	 1 	 N2 	 N2 	 4.8730703134445426e-05
AE loss	 25 	 12 	 C 	 C 	 4.511924731184424e-05
AE loss	 25 	 8 	 N 	 N 	 2.0638960703514958e-05
AE loss	 25 	 4 	 C 	 C 	 1.1007508094823781e-05
AE loss	 25 	 6 	 H 	 H 	 2.391187146996927e-07
AE loss	 25 	 7 	 Li 	 Li 	 1.5364748038828309e-06
AE loss	 25 	 3 	 CHN 	 CNH 	 0.006524201815205152
AE loss	 25 	 9 	 HN2O 	 HON2 	 0.0009561953351943261
AE loss	 25 	 11 	 HF2 	 HF2 	 0.0010003877058078505
AE loss	 25 	 5 	 F 	 F 	 2.347991795085755e-06
AE loss	 26 	 9 	 HN2O 	 HON2 	 0.0009574300528326996
AE loss	 26 	 6 	 H 	 H 	 2.4662593020728785e-07
AE loss	 26 	 10 	 CH4O 	 CH4O 	 6.253917411522731e-05
AE loss	 26 	 1 	 N2 	 N2 	 4.629548234918361e-05
AE loss	 26 	 2 	 FLi 	 LiF 	 0.007852266244817534
AE loss	 26 	 8 	 N 	 N 	 1.9564578642617136e-05
AE loss	 26 	 0 	 H2 	 H2 	 1.1512256267153402e-05
AE loss	 26 	 12 	 C 	 C 	 4.463784858392235e-05
AE loss	 26 	 13 	 Li 	 Li 	 8.478771602434159e-07
AE loss	 26 	 3 	 CHN 	 CNH 	 0.006436862713540952
AE loss	 26 	 7 	 Li 	 Li 	 1.755696590754462e-06
AE loss	 26 	 5 	 F 	 F 	 1.951586814018107e-06
AE loss	 26 	 11 	 HF2 	 HF2 	 0.001007506188814855
AE loss	 26 	 4 	 C 	 C 	 1.0528236664980554e-05
AE loss	 27 	 0 	 H2 	 H2 	 1.2702398731963257e-05
AE loss	 27 	 2 	 FLi 	 LiF 	 0.007808892345397875
AE loss	 27 	 6 	 H 	 H 	 2.711794593818899e-07
AE loss	 27 	 11 	 HF2 	 HF2 	 0.0010100352451548405
AE loss	 27 	 4 	 C 	 C 	 1.0494798954359099e-05
AE loss	 27 	 9 	 HN2O 	 HON2 	 0.000963384947127607
AE loss	 27 	 5 	 F 	 F 	 1.5818574044354346e-06
AE loss	 27 	 3 	 CHN 	 CNH 	 0.00634453653451862
AE loss	 27 	 7 	 Li 	 Li 	 1.9176180457747618e-06
AE loss	 27 	 13 	 Li 	 Li 	 9.227910459423411e-07
AE loss	 27 	 10 	 CH4O 	 CH4O 	 6.273918268312215e-05
AE loss	 27 	 8 	 N 	 N 	 1.9467201096683747e-05
AE loss	 27 	 1 	 N2 	 N2 	 4.1087039799756855e-05
AE loss	 27 	 12 	 C 	 C 	 4.355392653907515e-05
AE loss	 28 	 11 	 HF2 	 HF2 	 0.0010146293025543312
AE loss	 28 	 1 	 N2 	 N2 	 4.054067647497529e-05
AE loss	 28 	 12 	 C 	 C 	 4.355774753372877e-05
AE loss	 28 	 5 	 F 	 F 	 1.3164226421251288e-06
AE loss	 28 	 13 	 Li 	 Li 	 9.436955122348241e-07
AE loss	 28 	 3 	 CHN 	 CNH 	 0.006252600604747293
AE loss	 28 	 4 	 C 	 C 	 9.482556763133762e-06
AE loss	 28 	 0 	 H2 	 H2 	 1.6448213228794195e-05
