#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
56	 6 	 C2H2 	 C2H2 	 0.0001270624136505061 	 0.0001270624136505061
56	 3 	 CHN 	 CNH 	 0.0032059319482568584 	 0.0032059319482568584
56	 24 	 C 	 C 	 4.645705058691816e-05 	 4.645705058691816e-05
56	 10 	 NO 	 NO 	 9.536672598713259e-05 	 9.536672598713259e-05
56	 12 	 HN 	 NH 	 0.00126251762516808 	 0.00126251762516808
56	 16 	 CH2 	 CH2 	 0.003255983727095521 	 0.003255983727095521
56	 0 	 H2 	 H2 	 8.065876891073092e-07 	 8.065876891073092e-07
56	 7 	 CO 	 OC 	 0.00035576761182512734 	 0.00035576761182512734
56	 20 	 CH 	 CH 	 1.7171551164492433e-06 	 1.7171551164492433e-06
56	 19 	 HO 	 OH 	 1.920850218599888e-05 	 1.920850218599888e-05
56	 11 	 NO2 	 NO2 	 0.00476697448597797 	 0.00476697448597797
56	 22 	 CH4O 	 CH4O 	 0.0002705434566923719 	 0.0002705434566923719
56	 8 	 HLi 	 LiH 	 1.6988658561920718e-07 	 1.6988658561920718e-07
56	 21 	 HN2O 	 HON2 	 0.004824613245226105 	 0.004824613245226105
57	 9 	 Na2 	 Na2 	 1.6170462094561708e-05 	 1.6170462094561708e-05
57	 7 	 CO 	 OC 	 0.0003533707650221425 	 0.0003533707650221425
57	 18 	 H3N 	 NH3 	 0.0007205121054764133 	 0.0007205121054764133
57	 0 	 H2 	 H2 	 9.866029457228111e-07 	 9.866029457228111e-07
57	 16 	 CH2 	 CH2 	 0.003267257913537323 	 0.003267257913537323
57	 23 	 HF2 	 HF2 	 0.003052058899608112 	 0.003052058899608112
57	 25 	 Li 	 Li 	 4.4421357067501116e-05 	 4.4421357067501116e-05
57	 13 	 O3 	 O3 	 0.004350668015809366 	 0.004350668015809366
57	 8 	 HLi 	 LiH 	 1.7024406496425658e-07 	 1.7024406496425658e-07
57	 5 	 F2 	 F2 	 0.0002494945503934616 	 0.0002494945503934616
57	 17 	 H2O 	 OH2 	 0.00031670296774389503 	 0.00031670296774389503
57	 22 	 CH4O 	 CH4O 	 0.0002705390886478739 	 0.0002705390886478739
57	 10 	 NO 	 NO 	 9.586895514496964e-05 	 9.586895514496964e-05
57	 1 	 N2 	 N2 	 2.418027034790724e-06 	 2.418027034790724e-06
57	 2 	 FLi 	 LiF 	 0.0069814280712295505 	 0.0069814280712295505
57	 3 	 CHN 	 CNH 	 0.0031761163205040977 	 0.0031761163205040977
57	 14 	 N2O 	 N2O 	 0.0037061562124221935 	 0.0037061562124221935
57	 11 	 NO2 	 NO2 	 0.004749886551446475 	 0.004749886551446475
57	 4 	 CO2 	 CO2 	 0.0067419919291525935 	 0.0067419919291525935
57	 24 	 C 	 C 	 4.746304590934784e-05 	 4.746304590934784e-05
57	 12 	 HN 	 NH 	 0.0012723221092670156 	 0.0012723221092670156
57	 6 	 C2H2 	 C2H2 	 0.00012882863069953082 	 0.00012882863069953082
57	 15 	 CH3 	 CH3 	 3.2379006704378124e-05 	 3.2379006704378124e-05
57	 20 	 CH 	 CH 	 1.7020927887313639e-06 	 1.7020927887313639e-06
57	 19 	 HO 	 OH 	 1.954844893220142e-05 	 1.954844893220142e-05
57	 21 	 HN2O 	 HON2 	 0.004847690716603935 	 0.004847690716603935
58	 11 	 NO2 	 NO2 	 0.004802865992982155 	 0.004802865992982155
58	 5 	 F2 	 F2 	 0.0002526770214026137 	 0.0002526770214026137
58	 8 	 HLi 	 LiH 	 1.9524149266644516e-07 	 1.9524149266644516e-07
58	 1 	 N2 	 N2 	 2.5713472645476493e-06 	 2.5713472645476493e-06
58	 17 	 H2O 	 OH2 	 0.00031697580562296633 	 0.00031697580562296633
58	 14 	 N2O 	 N2O 	 0.003768103266173736 	 0.003768103266173736
58	 2 	 FLi 	 LiF 	 0.006946759810475049 	 0.006946759810475049
58	 16 	 CH2 	 CH2 	 0.003292211534969398 	 0.003292211534969398
