#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
27	 16 	 CH2 	 CH2 	 0.0018852394270445394 	 0.0018852394270445394
27	 15 	 CH3 	 CH3 	 6.696577352960316e-05 	 6.696577352960316e-05
27	 8 	 HLi 	 LiH 	 2.1736846353118003e-06 	 2.1736846353118003e-06
27	 10 	 NO 	 NO 	 1.5617986554278466e-05 	 1.5617986554278466e-05
27	 6 	 C2H2 	 C2H2 	 0.00026435956339155187 	 0.00026435956339155187
27	 20 	 CH 	 CH 	 6.6602351327647145e-09 	 6.6602351327647145e-09
27	 3 	 CHN 	 CNH 	 0.005441696921293094 	 0.005441696921293094
27	 9 	 Na2 	 Na2 	 2.1069917705510804e-06 	 2.1069917705510804e-06
27	 13 	 O3 	 O3 	 0.0016034866134993614 	 0.0016034866134993614
27	 1 	 N2 	 N2 	 1.719491349880985e-05 	 1.719491349880985e-05
27	 24 	 C 	 C 	 1.907333736261347e-06 	 1.907333736261347e-06
27	 14 	 N2O 	 N2O 	 0.0014497371414393366 	 0.0014497371414393366
27	 11 	 NO2 	 NO2 	 0.0021319053408000994 	 0.0021319053408000994
27	 2 	 FLi 	 LiF 	 0.008024036227030963 	 0.008024036227030963
27	 18 	 H3N 	 NH3 	 6.979736456697238e-05 	 6.979736456697238e-05
27	 7 	 CO 	 OC 	 0.0006829811187863037 	 0.0006829811187863037
27	 21 	 HN2O 	 HON2 	 0.002379195590647943 	 0.002379195590647943
27	 22 	 CH4O 	 CH4O 	 0.0001303263649035847 	 0.0001303263649035847
27	 12 	 HN 	 NH 	 0.0004910080716861478 	 0.0004910080716861478
27	 5 	 F2 	 F2 	 5.163524734737173e-05 	 5.163524734737173e-05
27	 4 	 CO2 	 CO2 	 0.010790111527003893 	 0.010790111527003893
28	 18 	 H3N 	 NH3 	 6.940651760617493e-05 	 6.940651760617493e-05
28	 9 	 Na2 	 Na2 	 2.1807936422429e-06 	 2.1807936422429e-06
28	 24 	 C 	 C 	 1.6921315292082426e-06 	 1.6921315292082426e-06
28	 17 	 H2O 	 OH2 	 4.76190023498579e-05 	 4.76190023498579e-05
28	 21 	 HN2O 	 HON2 	 0.002385870362099805 	 0.002385870362099805
28	 4 	 CO2 	 CO2 	 0.0106513107854869 	 0.0106513107854869
28	 15 	 CH3 	 CH3 	 7.335612820090477e-05 	 7.335612820090477e-05
28	 7 	 CO 	 OC 	 0.0006677134026761526 	 0.0006677134026761526
28	 8 	 HLi 	 LiH 	 3.066903035258251e-06 	 3.066903035258251e-06
28	 2 	 FLi 	 LiF 	 0.00793249819591824 	 0.00793249819591824
28	 25 	 Li 	 Li 	 1.702474488090782e-05 	 1.702474488090782e-05
28	 19 	 HO 	 OH 	 1.0857171191015947e-07 	 1.0857171191015947e-07
28	 5 	 F2 	 F2 	 5.8418868194730235e-05 	 5.8418868194730235e-05
28	 20 	 CH 	 CH 	 1.995080257869115e-09 	 1.995080257869115e-09
28	 12 	 HN 	 NH 	 0.0005248364043203189 	 0.0005248364043203189
28	 1 	 N2 	 N2 	 1.4455537372516385e-05 	 1.4455537372516385e-05
28	 22 	 CH4O 	 CH4O 	 0.00013866244552303902 	 0.00013866244552303902
28	 0 	 H2 	 H2 	 4.196357722214139e-06 	 4.196357722214139e-06
28	 13 	 O3 	 O3 	 0.0018053233018038917 	 0.0018053233018038917
28	 6 	 C2H2 	 C2H2 	 0.00022279535150299197 	 0.00022279535150299197
