AE loss	 18 	 18 	 Na 	 Na 	 7.395741567952228e-06
AE loss	 18 	 10 	 HLi 	 LiH 	 2.8878385390759363e-06
AE loss	 18 	 4 	 CO2 	 CO2 	 0.013563551705234095
AE loss	 18 	 2 	 FLi 	 LiF 	 0.008017083420147763
AE loss	 18 	 1 	 N2 	 N2 	 2.4391544513633693e-05
AE loss	 18 	 17 	 N 	 N 	 6.67094995251446e-05
AE loss	 18 	 13 	 Cl 	 Cl 	 1.1086005992681051e-05
AE loss	 18 	 15 	 H 	 H 	 1.0706996775466077e-07
AE loss	 19 	 12 	 C 	 C 	 6.993320321127961e-05
AE loss	 19 	 2 	 FLi 	 LiF 	 0.007975556823684123
AE loss	 19 	 8 	 CO 	 OC 	 0.0008784158015453446
AE loss	 19 	 10 	 HLi 	 LiH 	 2.9012060178969854e-06
AE loss	 19 	 13 	 Cl 	 Cl 	 1.2354981446917047e-05
AE loss	 19 	 9 	 HCl 	 ClH 	 4.37168299024546e-06
AE loss	 19 	 16 	 Li 	 Li 	 1.4177333840841981e-05
AE loss	 19 	 3 	 CHN 	 CNH 	 0.007220090879062019
AE loss	 19 	 7 	 C2H2 	 C2H2 	 0.0003429477076191917
AE loss	 19 	 18 	 Na 	 Na 	 7.614621166715498e-06
AE loss	 19 	 17 	 N 	 N 	 7.61928940965011e-05
AE loss	 19 	 1 	 N2 	 N2 	 2.0491081436570118e-05
AE loss	 19 	 14 	 F 	 F 	 2.0955909562821364e-05
AE loss	 19 	 5 	 Cl2 	 Cl2 	 3.092244481232157e-05
AE loss	 19 	 15 	 H 	 H 	 1.188265874876684e-07
