#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
53	 11 	 NO2 	 NO2 	 0.004963796376236876 	 0.004963796376236876
53	 1 	 N2 	 N2 	 1.1195252453508565e-06 	 1.1195252453508565e-06
53	 13 	 O3 	 O3 	 0.004221893164250247 	 0.004221893164250247
53	 5 	 F2 	 F2 	 0.00021045033650431808 	 0.00021045033650431808
53	 17 	 H2O 	 OH2 	 0.00024367057220869636 	 0.00024367057220869636
53	 4 	 CO2 	 CO2 	 0.007048799064139579 	 0.007048799064139579
53	 19 	 HO 	 OH 	 1.4674748581345856e-05 	 1.4674748581345856e-05
53	 20 	 CH 	 CH 	 2.447437688706013e-06 	 2.447437688706013e-06
53	 9 	 Na2 	 Na2 	 7.527669356946037e-08 	 7.527669356946037e-08
53	 14 	 N2O 	 N2O 	 0.003931353648167211 	 0.003931353648167211
53	 24 	 C 	 C 	 4.58945575182906e-05 	 4.58945575182906e-05
53	 3 	 CHN 	 CNH 	 0.0038524486463612797 	 0.0038524486463612797
53	 15 	 CH3 	 CH3 	 1.8995927793854043e-05 	 1.8995927793854043e-05
53	 7 	 CO 	 OC 	 0.0003642453318372445 	 0.0003642453318372445
53	 12 	 HN 	 NH 	 0.001198558891358117 	 0.001198558891358117
53	 23 	 HF2 	 HF2 	 0.0026713519806764764 	 0.0026713519806764764
53	 0 	 H2 	 H2 	 5.1190030002833444e-08 	 5.1190030002833444e-08
53	 10 	 NO 	 NO 	 0.00010108159361274856 	 0.00010108159361274856
54	 3 	 CHN 	 CNH 	 0.0038368187041168435 	 0.0038368187041168435
54	 16 	 CH2 	 CH2 	 0.0030789061799189133 	 0.0030789061799189133
54	 22 	 CH4O 	 CH4O 	 0.0002548450697955895 	 0.0002548450697955895
54	 20 	 CH 	 CH 	 2.432659230737882e-06 	 2.432659230737882e-06
54	 17 	 H2O 	 OH2 	 0.0002442305224548507 	 0.0002442305224548507
54	 2 	 FLi 	 LiF 	 0.007063778878802314 	 0.007063778878802314
54	 24 	 C 	 C 	 4.735859803955037e-05 	 4.735859803955037e-05
