#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
59	 17 	 H2O 	 OH2 	 0.0002542287557535916 	 0.0002542287557535916
59	 15 	 CH3 	 CH3 	 1.240777936615063e-08 	 1.240777936615063e-08
59	 4 	 CO2 	 CO2 	 0.008243161142536487 	 0.008243161142536487
59	 6 	 C2H2 	 C2H2 	 5.5328673987360256e-05 	 5.5328673987360256e-05
59	 5 	 F2 	 F2 	 0.0001417629354839007 	 0.0001417629354839007
59	 24 	 C 	 C 	 5.17636021874106e-05 	 5.17636021874106e-05
59	 20 	 CH 	 CH 	 2.2425608619975548e-08 	 2.2425608619975548e-08
59	 25 	 Li 	 Li 	 6.249578999697962e-06 	 6.249578999697962e-06
59	 19 	 HO 	 OH 	 1.1722151887547496e-05 	 1.1722151887547496e-05
60	 20 	 CH 	 CH 	 2.0976225334741076e-08 	 2.0976225334741076e-08
60	 23 	 HF2 	 HF2 	 0.0017486243520485223 	 0.0017486243520485223
60	 21 	 HN2O 	 HON2 	 0.0028719694144577336 	 0.0028719694144577336
60	 6 	 C2H2 	 C2H2 	 5.398103989400628e-05 	 5.398103989400628e-05
60	 11 	 NO2 	 NO2 	 0.0033451500503456533 	 0.0033451500503456533
60	 25 	 Li 	 Li 	 5.315926474529142e-06 	 5.315926474529142e-06
60	 19 	 HO 	 OH 	 1.1773683671707023e-05 	 1.1773683671707023e-05
60	 4 	 CO2 	 CO2 	 0.008251380823640922 	 0.008251380823640922
60	 12 	 HN 	 NH 	 0.0008522561664225453 	 0.0008522561664225453
60	 7 	 CO 	 OC 	 0.0004047330482934949 	 0.0004047330482934949
60	 3 	 CHN 	 CNH 	 0.002904455820653994 	 0.002904455820653994
60	 18 	 H3N 	 NH3 	 0.0005250858680363744 	 0.0005250858680363744
60	 2 	 FLi 	 LiF 	 0.00748069734384786 	 0.00748069734384786
60	 24 	 C 	 C 	 5.21105841835284e-05 	 5.21105841835284e-05
60	 8 	 HLi 	 LiH 	 8.357772787143926e-06 	 8.357772787143926e-06
60	 5 	 F2 	 F2 	 0.0001420871892294676 	 0.0001420871892294676
60	 13 	 O3 	 O3 	 0.0025608700329403096 	 0.0025608700329403096
60	 14 	 N2O 	 N2O 	 0.003350504286988107 	 0.003350504286988107
60	 22 	 CH4O 	 CH4O 	 0.0001203278489787521 	 0.0001203278489787521
60	 15 	 CH3 	 CH3 	 1.621358584139154e-08 	 1.621358584139154e-08
60	 16 	 CH2 	 CH2 	 0.002836306197466697 	 0.002836306197466697
60	 1 	 N2 	 N2 	 4.672635211383177e-06 	 4.672635211383177e-06
60	 17 	 H2O 	 OH2 	 0.0002542561609867709 	 0.0002542561609867709
60	 10 	 NO 	 NO 	 1.6002914418756376e-05 	 1.6002914418756376e-05
60	 0 	 H2 	 H2 	 4.25268347174839e-06 	 4.25268347174839e-06
60	 9 	 Na2 	 Na2 	 3.283391006028244e-06 	 3.283391006028244e-06
61	 18 	 H3N 	 NH3 	 0.0005257942458998468 	 0.0005257942458998468
