AE loss	 10 	 6 	 F2 	 F2 	 6.724370406031427e-06
AE loss	 10 	 29 	 O 	 O 	 1.9359547597729906e-05
AE loss	 10 	 18 	 CH2 	 CH2 	 0.00016976330895751522
AE loss	 11 	 21 	 HO 	 OH 	 5.578914134793454e-06
AE loss	 11 	 17 	 CH3 	 CH3 	 0.00012701885717821468
AE loss	 11 	 16 	 N2O 	 N2O 	 0.0005594070449958055
AE loss	 11 	 24 	 F 	 F 	 3.848822827609534e-06
AE loss	 11 	 19 	 H2O 	 OH2 	 8.076050838545849e-07
AE loss	 11 	 22 	 C 	 C 	 3.80169551944161e-05
AE loss	 11 	 23 	 Cl 	 Cl 	 7.951943928269486e-05
AE loss	 11 	 28 	 Na 	 Na 	 6.75823654135823e-08
AE loss	 11 	 4 	 CO2 	 CO2 	 0.014659995054095279
AE loss	 11 	 5 	 Cl2 	 Cl2 	 1.6187540548387185e-05
AE loss	 11 	 2 	 FLi 	 LiF 	 0.008373820085116578
AE loss	 11 	 14 	 HN 	 NH 	 2.701215862129261e-05
AE loss	 11 	 20 	 H3N 	 NH3 	 1.2194120328392429e-08
AE loss	 11 	 25 	 H 	 H 	 8.007878033561214e-08
AE loss	 11 	 12 	 NO 	 NO 	 3.7990206987740194e-06
AE loss	 11 	 11 	 Na2 	 Na2 	 2.889902559438481e-06
AE loss	 11 	 26 	 Li 	 Li 	 1.0489441364877113e-05
AE loss	 11 	 13 	 NO2 	 NO2 	 0.0011232249590111532
AE loss	 11 	 1 	 N2 	 N2 	 4.4751988136238624e-05
AE loss	 11 	 29 	 O 	 O 	 5.064701778822752e-05
AE loss	 11 	 0 	 H2 	 H2 	 4.92420089175417e-06
AE loss	 11 	 7 	 C2H2 	 C2H2 	 0.0004520983213084852
AE loss	 11 	 9 	 HCl 	 ClH 	 1.9528438211342914e-06
AE loss	 11 	 10 	 HLi 	 LiH 	 4.300254768895111e-06
AE loss	 11 	 18 	 CH2 	 CH2 	 0.0001621232367497168
AE loss	 11 	 3 	 CHN 	 CNH 	 0.007778541880741794
AE loss	 11 	 6 	 F2 	 F2 	 9.343541759434235e-06
AE loss	 11 	 8 	 CO 	 OC 	 0.0009823495052996832
AE loss	 11 	 27 	 N 	 N 	 7.680315647635728e-05
AE loss	 11 	 15 	 O3 	 O3 	 0.0004823232429720614
AE loss	 12 	 0 	 H2 	 H2 	 4.755766856735169e-06
AE loss	 12 	 27 	 N 	 N 	 7.659457392079121e-05
AE loss	 12 	 7 	 C2H2 	 C2H2 	 0.0004422763706209857
AE loss	 12 	 10 	 HLi 	 LiH 	 3.984275602466157e-06
AE loss	 12 	 18 	 CH2 	 CH2 	 0.00016531215644828004
AE loss	 12 	 15 	 O3 	 O3 	 0.00048814879665440454
AE loss	 12 	 13 	 NO2 	 NO2 	 0.0011677056451346102
AE loss	 12 	 20 	 H3N 	 NH3 	 3.826930292403564e-08
AE loss	 12 	 5 	 Cl2 	 Cl2 	 1.6811965183121386e-05
AE loss	 12 	 16 	 N2O 	 N2O 	 0.0006734947390570267
AE loss	 12 	 21 	 HO 	 OH 	 5.222818855676392e-06
AE loss	 12 	 12 	 NO 	 NO 	 4.75735858963031e-06
AE loss	 12 	 2 	 FLi 	 LiF 	 0.008307289804051009
AE loss	 12 	 23 	 Cl 	 Cl 	 4.306988323985586e-06
AE loss	 12 	 6 	 F2 	 F2 	 9.742946917940386e-06
AE loss	 12 	 1 	 N2 	 N2 	 3.9956755782783865e-05
AE loss	 12 	 9 	 HCl 	 ClH 	 2.048823903530831e-06
AE loss	 12 	 28 	 Na 	 Na 	 1.4669588194083251e-05
AE loss	 12 	 29 	 O 	 O 	 3.98107905584956e-05
AE loss	 12 	 14 	 HN 	 NH 	 2.8993771798250755e-05
AE loss	 12 	 4 	 CO2 	 CO2 	 0.01429957723948622
AE loss	 12 	 11 	 Na2 	 Na2 	 2.736033810559552e-06
AE loss	 12 	 8 	 CO 	 OC 	 0.0009648887551715937
AE loss	 12 	 22 	 C 	 C 	 5.7253638875312085e-05
AE loss	 12 	 17 	 CH3 	 CH3 	 0.00013043841865660691
AE loss	 12 	 3 	 CHN 	 CNH 	 0.007676350497344315
AE loss	 12 	 24 	 F 	 F 	 1.4684322103627906e-05
AE loss	 12 	 26 	 Li 	 Li 	 1.068748768735832e-05
AE loss	 12 	 25 	 H 	 H 	 9.011873018582656e-08
AE loss	 12 	 19 	 H2O 	 OH2 	 2.657373814728673e-07
AE loss	 13 	 27 	 N 	 N 	 5.4605605306893974e-05
AE loss	 13 	 13 	 NO2 	 NO2 	 0.0012478742289747323
