#epoch	m_idx	m_form	m_sym	ael	ael*lambda_ae
266	 10 	 NO 	 NO 	 7.375630691307154e-05 	 7.375630691307154e-05
266	 16 	 CH2 	 CH2 	 0.0026217875726141718 	 0.0026217875726141718
266	 5 	 F2 	 F2 	 0.0001798042257873164 	 0.0001798042257873164
267	 5 	 F2 	 F2 	 0.00017987995978325315 	 0.00017987995978325315
267	 13 	 O3 	 O3 	 0.0034183914714470513 	 0.0034183914714470513
267	 8 	 HLi 	 LiH 	 1.8696108808239747e-06 	 1.8696108808239747e-06
267	 7 	 CO 	 OC 	 0.00041093842268750497 	 0.00041093842268750497
267	 2 	 FLi 	 LiF 	 0.007297143273441631 	 0.007297143273441631
267	 21 	 HN2O 	 HON2 	 0.00392159472679283 	 0.00392159472679283
267	 22 	 CH4O 	 CH4O 	 0.0002351815882079585 	 0.0002351815882079585
267	 16 	 CH2 	 CH2 	 0.0026210779072518126 	 0.0026210779072518126
267	 10 	 NO 	 NO 	 7.366258536014499e-05 	 7.366258536014499e-05
267	 12 	 HN 	 NH 	 0.0009106786015407432 	 0.0009106786015407432
267	 24 	 C 	 C 	 2.638521574740129e-05 	 2.638521574740129e-05
267	 17 	 H2O 	 OH2 	 0.00022100838781994111 	 0.00022100838781994111
267	 14 	 N2O 	 N2O 	 0.003300665290561509 	 0.003300665290561509
267	 4 	 CO2 	 CO2 	 0.008016948207898309 	 0.008016948207898309
267	 9 	 Na2 	 Na2 	 3.6502368503749566e-07 	 3.6502368503749566e-07
267	 3 	 CHN 	 CNH 	 0.003948920521139216 	 0.003948920521139216
267	 19 	 HO 	 OH 	 1.1205419390695004e-05 	 1.1205419390695004e-05
267	 23 	 HF2 	 HF2 	 0.002618491616848186 	 0.002618491616848186
267	 1 	 N2 	 N2 	 1.0169545792606994e-06 	 1.0169545792606994e-06
267	 25 	 Li 	 Li 	 3.4739320314053826e-05 	 3.4739320314053826e-05
267	 6 	 C2H2 	 C2H2 	 0.00018398332622335335 	 0.00018398332622335335
267	 11 	 NO2 	 NO2 	 0.0042223303262058755 	 0.0042223303262058755
267	 18 	 H3N 	 NH3 	 0.00039382237512409417 	 0.00039382237512409417
267	 20 	 CH 	 CH 	 7.454444281979157e-07 	 7.454444281979157e-07
267	 15 	 CH3 	 CH3 	 9.843632387084822e-07 	 9.843632387084822e-07
267	 0 	 H2 	 H2 	 9.604383270675386e-07 	 9.604383270675386e-07
268	 23 	 HF2 	 HF2 	 0.0026184965638463066 	 0.0026184965638463066
268	 25 	 Li 	 Li 	 3.479250061875946e-05 	 3.479250061875946e-05
268	 14 	 N2O 	 N2O 	 0.0033019304813073588 	 0.0033019304813073588
268	 21 	 HN2O 	 HON2 	 0.0039216018059394335 	 0.0039216018059394335
268	 24 	 C 	 C 	 2.6312784293084658e-05 	 2.6312784293084658e-05
268	 19 	 HO 	 OH 	 1.1200090292066063e-05 	 1.1200090292066063e-05
268	 2 	 FLi 	 LiF 	 0.007293857424831182 	 0.007293857424831182
268	 6 	 C2H2 	 C2H2 	 0.00017751135219247756 	 0.00017751135219247756
268	 3 	 CHN 	 CNH 	 0.0039488082930645785 	 0.0039488082930645785
268	 22 	 CH4O 	 CH4O 	 0.00023518319920885582 	 0.00023518319920885582
268	 1 	 N2 	 N2 	 9.334640048887049e-07 	 9.334640048887049e-07
268	 20 	 CH 	 CH 	 7.497578650452151e-07 	 7.497578650452151e-07
268	 7 	 CO 	 OC 	 0.00041067493935983393 	 0.00041067493935983393
268	 10 	 NO 	 NO 	 7.371255307202226e-05 	 7.371255307202226e-05
268	 12 	 HN 	 NH 	 0.0009112142756985557 	 0.0009112142756985557
268	 9 	 Na2 	 Na2 	 3.633637822441511e-07 	 3.633637822441511e-07
268	 17 	 H2O 	 OH2 	 0.00022118526972936863 	 0.00022118526972936863
268	 18 	 H3N 	 NH3 	 0.0003928316955370418 	 0.0003928316955370418
268	 13 	 O3 	 O3 	 0.003417551966117396 	 0.003417551966117396
268	 4 	 CO2 	 CO2 	 0.008016549230675343 	 0.008016549230675343
268	 0 	 H2 	 H2 	 9.574067021889513e-07 	 9.574067021889513e-07
268	 5 	 F2 	 F2 	 0.00017986515736089463 	 0.00017986515736089463
268	 15 	 CH3 	 CH3 	 1.0167579223822984e-06 	 1.0167579223822984e-06
268	 16 	 CH2 	 CH2 	 0.0026202228086703843 	 0.0026202228086703843
268	 11 	 NO2 	 NO2 	 0.004222347829009454 	 0.004222347829009454
268	 8 	 HLi 	 LiH 	 1.8623767687592547e-06 	 1.8623767687592547e-06
269	 22 	 CH4O 	 CH4O 	 0.00023518415164731633 	 0.00023518415164731633
269	 16 	 CH2 	 CH2 	 0.0026209750968940607 	 0.0026209750968940607
269	 5 	 F2 	 F2 	 0.00017981854210331102 	 0.00017981854210331102
269	 2 	 FLi 	 LiF 	 0.007305667124107506 	 0.007305667124107506
269	 23 	 HF2 	 HF2 	 0.0026185132432150217 	 0.0026185132432150217
269	 19 	 HO 	 OH 	 1.1208970456613661e-05 	 1.1208970456613661e-05
269	 7 	 CO 	 OC 	 0.00041075189729037107 	 0.00041075189729037107
269	 21 	 HN2O 	 HON2 	 0.003921639001489032 	 0.003921639001489032
269	 17 	 H2O 	 OH2 	 0.00022085278847363735 	 0.00022085278847363735
269	 13 	 O3 	 O3 	 0.0034177434350961514 	 0.0034177434350961514
269	 3 	 CHN 	 CNH 	 0.0039479416327105775 	 0.0039479416327105775
269	 20 	 CH 	 CH 	 7.345812000135193e-07 	 7.345812000135193e-07
269	 4 	 CO2 	 CO2 	 0.008019179158440201 	 0.008019179158440201
269	 18 	 H3N 	 NH3 	 0.00039253637907888826 	 0.00039253637907888826
269	 9 	 Na2 	 Na2 	 3.635292104864821e-07 	 3.635292104864821e-07
269	 12 	 HN 	 NH 	 0.0009102689359107464 	 0.0009102689359107464
269	 24 	 C 	 C 	 2.6518569870302798e-05 	 2.6518569870302798e-05
269	 25 	 Li 	 Li 	 3.5531763080781786e-05 	 3.5531763080781786e-05
269	 1 	 N2 	 N2 	 1.0423009608813302e-06 	 1.0423009608813302e-06
269	 8 	 HLi 	 LiH 	 1.8705273885115293e-06 	 1.8705273885115293e-06
269	 10 	 NO 	 NO 	 7.369632338941015e-05 	 7.369632338941015e-05
269	 11 	 NO2 	 NO2 	 0.00422298206497259 	 0.00422298206497259
269	 14 	 N2O 	 N2O 	 0.003303448286391803 	 0.003303448286391803
269	 15 	 CH3 	 CH3 	 9.858197279960856e-07 	 9.858197279960856e-07
269	 6 	 C2H2 	 C2H2 	 0.00017810720824499408 	 0.00017810720824499408
269	 0 	 H2 	 H2 	 1.0173732033832605e-06 	 1.0173732033832605e-06
270	 2 	 FLi 	 LiF 	 0.00729396468385053 	 0.00729396468385053
270	 8 	 HLi 	 LiH 	 1.8785239282445984e-06 	 1.8785239282445984e-06
270	 17 	 H2O 	 OH2 	 0.00022169018862441608 	 0.00022169018862441608
270	 9 	 Na2 	 Na2 	 3.663859388084721e-07 	 3.663859388084721e-07
270	 15 	 CH3 	 CH3 	 9.779766042023954e-07 	 9.779766042023954e-07
270	 12 	 HN 	 NH 	 0.0009102686225569341 	 0.0009102686225569341
270	 24 	 C 	 C 	 2.6154327972766472e-05 	 2.6154327972766472e-05
270	 4 	 CO2 	 CO2 	 0.008021876808432237 	 0.008021876808432237
270	 1 	 N2 	 N2 	 1.004180393116232e-06 	 1.004180393116232e-06
270	 5 	 F2 	 F2 	 0.0001797608500531847 	 0.0001797608500531847
270	 16 	 CH2 	 CH2 	 0.0026204319307542986 	 0.0026204319307542986
270	 3 	 CHN 	 CNH 	 0.003948961233491839 	 0.003948961233491839
270	 25 	 Li 	 Li 	 3.674483219380898e-05 	 3.674483219380898e-05
270	 22 	 CH4O 	 CH4O 	 0.00023518689881492583 	 0.00023518689881492583
270	 11 	 NO2 	 NO2 	 0.004219767899755156 	 0.004219767899755156
270	 13 	 O3 	 O3 	 0.003418778243392516 	 0.003418778243392516
270	 0 	 H2 	 H2 	 1.081898094882139e-06 	 1.081898094882139e-06
270	 21 	 HN2O 	 HON2 	 0.003921684943322848 	 0.003921684943322848
270	 18 	 H3N 	 NH3 	 0.0003930052974059096 	 0.0003930052974059096
